src_host,dst_host,avg_rtt_ms,packet_loss_pct
h1,h18,119.994,0
h1,h19,103.093,0
h1,h20,109.187,0
h1,h21,110.978,0
h1,h22,103.782,0
h1,h23,95.238,0
h1,h24,105.882,0
h1,h25,132.305,0
h1,h26,105.224,0
h1,h27,111.097,0
h1,h28,109.941,0
h1,h29,97.059,0
h1,h30,104.249,0
h1,h31,105.676,0
h1,h32,114.588,0
h1,h33,101.751,0
h1,h34,96.247,0
h1,h35,121.805,0
h1,h36,108.568,0
h1,h37,110.044,0
h1,h38,105.150,0
h1,h39,190.414,0
h1,h2,102.363,0
h1,h3,107.142,0
h1,h4,107.454,0
h1,h5,96.709,0
h1,h6,98.179,0
h1,h7,96.972,0
h1,h8,90.889,0
h1,h9,93.234,0
h1,h10,93.452,0
h1,h11,99.260,0
h1,h12,98.269,0
h1,h13,102.242,0
h1,h14,95.393,0
h1,h15,97.980,0
h1,h16,99.932,0
h1,h17,109.294,0
h1,h18,102.609,0
h1,h19,103.977,0
h1,h20,98.988,0
h1,h21,95.948,0
h1,h22,102.169,0
h1,h23,94.158,0
h1,h24,109.121,0
h1,h25,106.609,0
h1,h26,94.938,0
h1,h27,93.194,0
h1,h28,98.427,0
h1,h29,92.650,0
h1,h30,93.487,0
h1,h31,103.572,0
h1,h32,98.846,0
h1,h33,95.024,0
h1,h34,102.007,0
h1,h35,99.383,0
h1,h36,99.216,0
h1,h37,102.138,0
h1,h38,95.788,0
h1,h39,100.225,0
h1,h2,96.447,0
h1,h3,101.347,0
h1,h4,99.986,0
h1,h5,99.695,0
h1,h6,105.576,0
h1,h7,101.524,0
h1,h8,100.179,0
h1,h9,101.550,0
h1,h10,100.767,0
h1,h11,101.825,0
h1,h12,109.307,0
h1,h13,97.947,0
h1,h14,93.518,0
h1,h15,99.866,0
h1,h16,95.742,0
h1,h17,103.916,0
h1,h18,100.242,0
h1,h19,93.398,0
h1,h20,100.823,0
h1,h21,100.051,0
h1,h22,104.213,0
h1,h23,107.673,0
h1,h24,105.897,0
h1,h25,97.721,0
h1,h26,99.416,0
h1,h27,103.990,0
h1,h28,99.685,0
h1,h29,104.373,0
h1,h30,94.794,0
h1,h31,103.276,0
h1,h32,101.008,0
h1,h33,99.673,0
h1,h34,98.576,0
h1,h35,99.324,0
h1,h36,104.111,0
h1,h37,99.233,0
h1,h38,101.218,0
h1,h39,101.619,0
h1,h2,111.172,0
h1,h3,120.173,0
h1,h4,129.988,0
h1,h5,119.573,0
h1,h6,110.994,0
h1,h7,99.430,0
h1,h8,117.587,0
h1,h9,118.443,0
h1,h10,114.581,0
h1,h11,119.258,0
h1,h12,109.003,0
h1,h13,92.915,0
h1,h14,104.967,0
h1,h15,108.118,0
h1,h16,103.660,0
h1,h17,107.518,0
h1,h18,103.073,0
h1,h19,100.677,0
h1,h20,109.425,0
h1,h21,103.333,0
h1,h22,106.618,0
h1,h23,108.916,0
h1,h24,106.572,0
h1,h25,103.978,0
h1,h26,108.421,0
h1,h27,110.376,0
h1,h28,105.461,0
h1,h29,102.096,0
h1,h30,97.293,0
h1,h31,103.053,0
h1,h32,102.110,0
h1,h33,104.199,0
h1,h34,101.965,0
h1,h35,112.576,0
h1,h36,101.619,0
h1,h37,106.031,0
h1,h38,94.368,0
h1,h39,108.280,0
h1,h2,97.720,0
h1,h3,105.486,0
h1,h4,106.270,0
h1,h5,104.550,0
h1,h6,106.035,0
h1,h7,97.077,0
h1,h8,100.532,0
h1,h9,107.032,0
h1,h10,107.094,0
h1,h11,98.139,0
h1,h12,105.880,0
h1,h13,102.044,0
h1,h14,104.014,0
h1,h15,113.841,0
h1,h16,98.120,0
h1,h17,105.590,0
h1,h18,104.145,0
h1,h19,96.282,0
h1,h20,99.198,0
h1,h21,101.802,0
h1,h22,93.939,0
h1,h23,101.458,0
h1,h24,97.021,0
h1,h25,105.444,0
h1,h26,106.419,0
h1,h27,100.947,0
h1,h28,103.975,0
h1,h29,101.997,0
h1,h30,97.879,0
h1,h31,91.348,0
h1,h32,91.646,0
h1,h33,106.106,0
h1,h34,97.969,0
h1,h35,108.398,0
h1,h36,104.672,0
h1,h37,97.925,0
h1,h38,100.856,0
h1,h39,103.904,0
h1,h2,104.849,0
h1,h3,98.948,0
h1,h4,107.424,0
h1,h5,100.658,0
h1,h6,102.995,0
h1,h7,102.311,0
h1,h8,98.338,0
h1,h9,105.511,0
h1,h10,97.021,0
h1,h11,97.647,0
h1,h12,95.128,0
h1,h13,104.236,0
h1,h14,94.243,0
h1,h15,104.762,0
h1,h16,101.874,0
h1,h17,102.743,0
h1,h18,102.337,0
h1,h19,100.603,0
h1,h20,100.600,0
h1,h21,105.016,0
h1,h22,108.266,0
h1,h23,96.700,0
h1,h24,98.021,0
h1,h25,105.013,0
h1,h26,102.397,0
h1,h27,90.597,0
