timestep,time_seconds,time_hours,pmu_id,gen_bus,rank,importance_score
62,310,0.086111111,6,36,9,0.001209129
62,310,0.086111111,10,31,10,0
63,315,0.0875,5,35,1,0.3
63,315,0.0875,3,33,2,0.286795717
63,315,0.0875,1,30,3,0.235207368
63,315,0.0875,4,34,4,0.223700445
63,315,0.0875,8,38,5,0.202269736
63,315,0.0875,2,32,6,0.194726335
63,315,0.0875,7,37,7,0.182228609
63,315,0.0875,9,39,8,0.002160508
63,315,0.0875,6,36,9,0.00120912
63,315,0.0875,10,31,10,0
64,320,0.088888889,5,35,1,0.3
64,320,0.088888889,3,33,2,0.286766913
64,320,0.088888889,1,30,3,0.23501012
64,320,0.088888889,4,34,4,0.223811183
64,320,0.088888889,8,38,5,0.202350664
64,320,0.088888889,2,32,6,0.193784559
64,320,0.088888889,7,37,7,0.182206422
64,320,0.088888889,9,39,8,0.002159365
64,320,0.088888889,6,36,9,0.001209125
64,320,0.088888889,10,31,10,0
65,325,0.090277778,5,35,1,0.3
65,325,0.090277778,3,33,2,0.286774246
