action,cycle_id,link_id,link_mbps,link_monitor,link_usage_norm,rx_mbps,rx_pps,timestamp,tx_mbps,tx_pps
ip_shuffle,20260623T155733_730057,of:0000000000000005:2 -> of:0000000000000009:3,0.002,0.0025,0.002,0.002,1.66,2026-06-23T15:57:33,0.002,1.66
ip_shuffle,20260623T155733_730057,of:0000000000000001:1 -> of:000000000000000b:1,0.003,0.00375,0.003,0.003,3.0,2026-06-23T15:57:33,0.003,3.0
ip_shuffle,20260623T155733_730057,of:000000000000000b:2 -> of:000000000000000c:2,0.002,0.0025,0.002,0.002,1.8,2026-06-23T15:57:33,0.002,1.8
ip_shuffle,20260623T155733_730057,of:0000000000000001:2 -> of:000000000000000c:1,0.002,0.0025,0.002,0.002,1.57,2026-06-23T15:57:33,0.002,1.53
ip_shuffle,20260623T155733_730057,of:0000000000000006:2 -> of:000000000000000a:2,0.002,0.0025,0.002,0.002,1.7,2026-06-23T15:57:33,0.002,1.7
ip_shuffle,20260623T155733_730057,of:0000000000000001:3 -> of:000000000000000d:1,0.002,0.0025,0.002,0.002,1.57,2026-06-23T15:57:33,0.002,1.53
ip_shuffle,20260623T155733_730057,of:0000000000000003:1 -> of:000000000000000b:5,0.002,0.0025,0.002,0.002,1.9,2026-06-23T15:57:33,0.002,1.9
ip_shuffle,20260623T155733_730057,of:0000000000000006:1 -> of:000000000000000d:4,0.001,0.00125,0.001,0.001,1.47,2026-06-23T15:57:33,0.001,1.5
ip_shuffle,20260623T155733_730057,of:0000000000000007:2 -> of:000000000000000a:3,0.002,0.0025,0.002,0.002,1.7,2026-06-23T15:57:33,0.002,1.7
ip_shuffle,20260623T155733_730057,of:0000000000000007:1 -> of:000000000000000d:5,0.001,0.00125,0.001,0.001,1.47,2026-06-23T15:57:33,0.001,1.5
ip_shuffle,20260623T155733_730057,of:0000000000000002:2 -> of:0000000000000008:2,0.002,0.0025,0.002,0.002,1.66,2026-06-23T15:57:33,0.002,1.66
ip_shuffle,20260623T155733_730057,of:0000000000000003:2 -> of:0000000000000008:3,0.002,0.0025,0.002,0.002,1.66,2026-06-23T15:57:33,0.002,1.66
ip_shuffle,20260623T155733_730057,of:0000000000000008:1 -> of:000000000000000b:6,0.001,0.00125,0.001,0.001,1.47,2026-06-23T15:57:33,0.001,1.5
ip_shuffle,20260623T155733_730057,of:0000000000000004:2 -> of:0000000000000009:2,0.002,0.0025,0.002,0.002,1.66,2026-06-23T15:57:33,0.002,1.66
ip_shuffle,20260623T155733_730057,of:0000000000000002:1 -> of:000000000000000b:4,0.002,0.0025,0.002,0.002,2.66,2026-06-23T15:57:33,0.002,2.7
ip_shuffle,20260623T155733_730057,of:0000000000000009:1 -> of:000000000000000c:6,0.002,0.0025,0.002,0.002,1.53,2026-06-23T15:57:33,0.002,1.57
ip_shuffle,20260623T155837_866086,of:0000000000000004:1 -> of:000000000000000c:4,0.002,0.0025,0.002,0.002,2.26,2026-06-23T15:58:37,0.002,2.23
ip_shuffle,20260623T155837_866086,of:0000000000000005:1 -> of:000000000000000c:5,0.002,0.0025,0.002,0.002,2.26,2026-06-23T15:58:37,0.002,2.23
ip_shuffle,20260623T155837_866086,of:000000000000000a:1 -> of:000000000000000d:6,0.002,0.0025,0.002,0.002,2.23,2026-06-23T15:58:37,0.002,2.2
ip_shuffle,20260623T155837_866086,of:000000000000000b:3 -> of:000000000000000d:2,0.002,0.0025,0.002,0.002,3.1,2026-06-23T15:58:37,0.002,3.1
ip_shuffle,20260623T155837_866086,of:000000000000000c:3 -> of:000000000000000d:3,0.002,0.0025,0.002,0.002,3.1,2026-06-23T15:58:37,0.002,3.1
ip_shuffle,20260623T155837_866086,of:0000000000000005:2 -> of:0000000000000009:3,0.002,0.0025,0.002,0.002,3.16,2026-06-23T15:58:37,0.002,3.16
ip_shuffle,20260623T155837_866086,of:0000000000000001:1 -> of:000000000000000b:1,0.002,0.0025,0.002,0.002,2.16,2026-06-23T15:58:37,0.002,2.23
ip_shuffle,20260623T155837_866086,of:000000000000000b:2 -> of:000000000000000c:2,0.002,0.0025,0.002,0.002,3.13,2026-06-23T15:58:37,0.002,3.13
ip_shuffle,20260623T155837_866086,of:0000000000000001:2 -> of:000000000000000c:1,0.002,0.0025,0.002,0.002,2.16,2026-06-23T15:58:37,0.002,2.23
ip_shuffle,20260623T155837_866086,of:0000000000000006:2 -> of:000000000000000a:2,0.002,0.0025,0.002,0.002,3.16,2026-06-23T15:58:37,0.002,3.16
ip_shuffle,20260623T155837_866086,of:0000000000000001:3 -> of:000000000000000d:1,0.004,0.005,0.004,0.004,5.19,2026-06-23T15:58:37,0.004,5.13
ip_shuffle,20260623T155837_866086,of:0000000000000003:1 -> of:000000000000000b:5,0.002,0.0025,0.002,0.002,2.2,2026-06-23T15:58:37,0.002,2.16
ip_shuffle,20260623T155837_866086,of:0000000000000006:1 -> of:000000000000000d:4,0.003,0.00375,0.003,0.003,3.2,2026-06-23T15:58:37,0.003,3.26
ip_shuffle,20260623T155837_866086,of:0000000000000007:2 -> of:000000000000000a:3,0.002,0.0025,0.002,0.002,3.16,2026-06-23T15:58:37,0.002,3.16
ip_shuffle,20260623T155837_866086,of:0000000000000007:1 -> of:000000000000000d:5,0.003,0.00375,0.003,0.003,4.13,2026-06-23T15:58:37,0.003,4.06
ip_shuffle,20260623T155837_866086,of:0000000000000002:2 -> of:0000000000000008:2,0.002,0.0025,0.002,0.002,3.1,2026-06-23T15:58:37,0.002,3.1
ip_shuffle,20260623T155837_866086,of:0000000000000003:2 -> of:0000000000000008:3,0.002,0.0025,0.002,0.002,3.1,2026-06-23T15:58:37,0.002,3.1
ip_shuffle,20260623T155837_866086,of:0000000000000008:1 -> of:000000000000000b:6,0.002,0.0025,0.002,0.002,2.23,2026-06-23T15:58:37,0.002,2.23
